,country,article_name,population,rel_proportion
144,Luxembourg,1,632000000.0,1.5822784810126582e-07
143,Suriname,1,605000000.0,1.652892561983471e-07
142,Maldives,1,541000000.0,1.8484288354898337e-07
141,Malta,1,522000000.0,1.9157088122605365e-07
140,Martinique,1,356000000.0,2.8089887640449437e-07
139,Montenegro,2,622000000.0,3.2154340836012864e-07
138,Iceland,2,368000000.0,5.434782608695652e-07
137,India,13,1400100000.0,9.285051067780873e-07
136,Vanuatu,3,321000000.0,9.345794392523365e-07
135,Nigeria,2,206140000.0,9.702144173862423e-07
